"","Trial_id","Group","Response","mrt"
"1","C02","b","Üzülür",2
"2","C02","b","Hisleri etkilenmez",1
"3","C02","d","Üzülür",2
"4","C02","d","Bilemeyiz",7
"5","C02","z","Sevinir",2
"6","C02","z","Bilemeyiz",4
"7","C05","b","Sevinir",1
"8","C05","b","Bilemeyiz",2
"9","C05","d","Sevinir",1
"10","C05","d","Bilemeyiz",8
"11","C05","z","Üzülür",2
"12","C05","z","Bilemeyiz",4
"13","C04","b","Üzülür",1
"14","C04","b","Hisleri etkilenmez",1
"15","C04","b","Bilemeyiz",1
"16","C04","d","Üzülür",2
"17","C04","d","Bilemeyiz",7
"18","C04","z","Sevinir",2
"19","C04","z","Bilemeyiz",4
"20","C06","b","Hisleri etkilenmez",1
"21","C06","b","Bilemeyiz",2
"22","C06","d","Üzülür",1
"23","C06","d","Bilemeyiz",8
"24","C06","z","Sevinir",2
"25","C06","z","Bilemeyiz",4
"26","C01","b","Sevinir",3
"27","C01","d","Bilemeyiz",9
"28","C01","z","Bilemeyiz",6
"29","C03","b","Sevinir",1
"30","C03","b","Hisleri etkilenmez",1
"31","C03","b","Bilemeyiz",1
"32","C03","d","Hisleri etkilenmez",2
"33","C03","d","Bilemeyiz",7
"34","C03","z","Üzülür",2
"35","C03","z","Bilemeyiz",4
